std id,name,email,exp grad date
'S001','Mike Jones','mike.jones@college.edu','fa2026'
'S002','Quinn Williams','quinn.williams@college.edu','sp2027'
'S003','Alice Johnson','alice.johnson@college.edu','fa2025'
'S004','Frank Davis','frank.davis@college.edu','fa2025'
'S005','Alice Williams','alice.williams@college.edu','fa2025'
'S006','Karl Garcia','karl.garcia@college.edu','sp2026'
'S007','Bob Jones','bob.jones@college.edu','sp2026'
'S008','Bob Jones','bob.jones@college.edu','sp2026'
'S009','Pam Davis','pam.davis@college.edu','sp2027'
'S010','Diana Brown','diana.brown@college.edu','sp2027'
'S011','Lena Johnson','lena.johnson@college.edu','fa2026'
'S012','Lena Davis','lena.davis@college.edu','fa2025'
'S013','Oscar Jones','oscar.jones@college.edu','sp2027'
'S014','Pam Miller','pam.miller@college.edu','sp2027'
'S015','Bob Wilson','bob.wilson@college.edu','sp2026'
'S016','Ivan Brown','ivan.brown@college.edu','sp2027'
'S017','Hannah Johnson','hannah.johnson@college.edu','sp2026'
'S018','Oscar Miller','oscar.miller@college.edu','sp2027'
'S019','Nina Lopez','nina.lopez@college.edu','fa2025'
'S020','Bob Garcia','bob.garcia@college.edu','sp2026'
'S021','Alice Williams','alice.williams@college.edu','fa2025'
'S022','Alice Garcia','alice.garcia@college.edu','fa2025'
'S023','Hannah Garcia','hannah.garcia@college.edu','sp2026'
'S024','Lena Lopez','lena.lopez@college.edu','sp2026'
'S025','Ivan Davis','ivan.davis@college.edu','sp2026'
'S026','Frank Lopez','frank.lopez@college.edu','sp2027'
'S027','Charlie Brown','charlie.brown@college.edu','sp2026'
'S028','Diana Johnson','diana.johnson@college.edu','fa2025'
'S029','Eve Garcia','eve.garcia@college.edu','sp2026'
'S030','Pam Davis','pam.davis@college.edu','sp2026'
